ID	genoR	date	rep	latence	spore	infection	indFitt
15-0083-0002	L	8-6-18	REP1	107.55	85.86	50.00	-0.92
15-0083-0002	L	8-6-18	REP2	107.07	89.58	60.00	-0.69
17-0083-0001	L	8-6-18	REP1	106.67	129.34	86.70	0.05
17-0083-0001	L	8-6-18	REP2	104.42	106.42	86.70	-0.12
17-0079-0001	S	8-6-18	REP1	109.60	98.58	56.67	-0.67
17-0079-0001	S	8-6-18	REP2	107.50	52.24	83.33	-0.90
17-0117-0002	S	8-6-18	REP1	106.99	55.84	80.00	-0.87
17-0117-0002	S	8-6-18	REP2	105.33	106.06	66.70	-0.40
15-0083-0002	L	15-6-18	REP1	104.50	108.20	86.67	-0.11
15-0083-0002	L	15-6-18	REP2	106.95	123.00	90.00	0.03
17-0079-0001	S	15-6-18	REP1	105.33	120.80	76.67	-0.13
17-0079-0001	S	15-6-18	REP2	122.40	106.60	70.00	-0.49
17-0117-0002	S	15-6-18	REP1	108.24	140.80	93.33	0.19
17-0117-0002	S	15-6-18	REP2	104.00	115.80	86.67	-0.04
15-0083-0002	L	22-6-18	REP1	100.00	157.00	70.00	0.09
15-0083-0002	L	22-6-18	REP2	102.57	100.60	76.67	-0.29
17-0079-0001	S	22-6-18	REP1	100.67	207.80	83.33	0.54
17-0079-0001	S	22-6-18	REP2	102.77	151.40	93.33	0.32
17-0117-0002	S	22-6-18	REP1	97.23	142.80	73.33	0.07
17-0117-0002	S	22-6-18	REP2	102.25	120.60	76.67	-0.10
15-0083-0002	L	29-6-18	REP1	100.00	21.21	33.33	-2.65
15-0083-0002	L	29-6-18	REP2	100.00	44.63	16.67	-2.60
17-0083-0001	L	29-6-18	REP1	98.66	48.36	53.33	-1.34
17-0083-0001	L	29-6-18	REP2	103.01	31.23	16.67	-2.98
17-0079-0001	S	29-6-18	REP1	92.00	25.02	33.33	-2.40
17-0079-0001	S	29-6-18	REP2	96.40	89.17	56.67	-0.65
17-0117-0002	S	29-6-18	REP1	94.00	83.50	66.67	-0.52
17-0117-0002	S	29-6-18	REP2	102.67	20.71	43.33	-2.44
15-0083-0002	L	6-7-18	REP1	102.18	144.20	60.00	-0.17
15-0083-0002	L	6-7-18	REP2	94.60	115.33	93.33	0.13
17-0083-0001	L	6-7-18	REP1	98.20	116.42	83.33	-0.01
17-0083-0001	L	6-7-18	REP2	78.18	215.08	96.67	0.98
17-0079-0001	S	6-7-18	REP1	136.01	35.49	13.33	-3.36
17-0079-0001	S	6-7-18	REP2	92.80	81.26	40.00	-1.05
17-0117-0002	S	6-7-18	REP1	99.00	79.63	26.67	-1.54
17-0117-0002	S	6-7-18	REP2	104.29	52.46	36.67	-1.69
15-0083-0002	L	13-7-18	REP1	102.00	112.90	73.33	-0.21
15-0083-0002	L	13-7-18	REP2	100.40	186.70	70.00	0.26
17-0083-0001	L	13-7-18	REP1	99.70	108.91	70.00	-0.27
17-0083-0001	L	13-7-18	REP2	100.32	200.34	73.33	0.38
17-0079-0001	S	13-7-18	REP1	97.23	296.57	86.67	0.97
17-0079-0001	S	13-7-18	REP2	103.00	187.30	73.33	0.29
17-0117-0002	S	13-7-18	REP1	97.27	149.77	53.33	-0.20
17-0117-0002	S	13-7-18	REP2	99.34	153.24	56.67	-0.13
